iter	Passed	Remaining
195	898	44922
196	901	44884
197	906	44886
198	908	44769
199	913	44751
200	915	44651
201	918	44572
202	921	44475
203	924	44373
204	928	44343
205	931	44271
206	934	44200
207	936	44105
208	939	44015
209	942	43920
210	946	43934
211	951	43910
212	955	43902
213	957	43797
214	962	43803
215	966	43792
216	970	43742
217	973	43666
218	977	43678
219	980	43593
220	983	43505
221	985	43413
222	988	43331
223	992	43333
224	996	43308
225	1000	43283
226	1003	43210
227	1007	43195
228	1010	43117
229	1013	43033
230	1015	42953
231	1018	42874
232	1020	42795
233	1026	42833
234	1029	42763
235	1031	42682
236	1034	42604
237	1036	42529
238	1042	42563
239	1045	42537
240	1050	42547
241	1053	42483
242	1057	42477
243	1061	42428
244	1064	42368
245	1067	42318
246	1071	42296
247	1074	42247
248	1076	42174
249	1079	42098
250	1081	42017
251	1084	41961
252	1088	41951
253	1091	41887
254	1094	41826
255	1097	41759
256	1100	41704
257	1104	41714
258	1108	41691
259	1112	41669
260	1115	41635
261	1120	41633
262	1122	41556
263	1125	41490
264	1127	41417
265	1130	41362
266	1133	41307
267	1136	41252
268	1138	41190
269	1141	41124
270	1143	41065
271	1146	41000
272	1150	40979
273	1153	40929
274	1156	40891
275	1161	40917
276	1168	41014
277	1171	40963
278	1174	40909
279	1176	40851
280	1179	40790
281	1184	40804
282	1186	40745
283	1189	40689
284	1191	40629
285	1194	40570
286	1198	40576
287	1202	40541
288	1206	40527
289	1210	40520
290	1214	40523
291	1217	40467
292	1220	40419
293	1222	40361
294	1225	40305
295	1229	40293
296	1231	40245
297	1234	40185
298	1237	40135
299	1239	40083
300	1242	40031
301	1246	40033
302	1249	39985
303	1254	40006
304	1257	39981
305	1263	40038
306	1267	40006
307	1270	39976
308	1273	39953
309	1278	39967
310	1282	39940
311	1285	39905
312	1287	39856
313	1290	39805
314	1295	39837
315	1299	39822
316	1303	39817
317	1306	39768
318	1310	39762
319	1313	39718
320	1315	39671
321	1318	39621
322	1320	39573
323	1325	39589
324	1328	39540
325	1330	39494
326	1333	39446
327	1336	39398
328	1338	39350
329	1343	39368
330	1346	39341
331	1358	39559
332	1361	39528
333	1364	39497
334	1367	39463
335	1372	39469
336	1374	39423
337	1377	39381
338	1380	39336
339	1382	39290
340	1385	39241
341	1391	39287
342	1395	39288
343	1401	39326
344	1407	39390
345	1410	39355
346	1413	39314
347	1415	39268
348	1422	39334
349	1425	39291
350	1427	39246
351	1430	39201
352	1433	39163
353	1437	39160
354	1439	39116
355	1442	39071
356	1445	39031
357	1448	39006
358	1453	39043
359	1458	39045
360	1463	39067
361	1469	39130
362	1473	39128
363	1478	39129
364	1480	39085
365	1485	39094
366	1487	39054
367	1490	39013
368	1493	38975
369	1495	38932
370	1499	38919
371	1502	38894
372	1505	38851
373	1508	38813
374	1510	38769
375	1512	38725
376	1517	38735
377	1521	38726
378	1526	38747
379	1529	38709
380	1533	38706
381	1535	38667
382	1539	38645
383	1542	38626
384	1545	38595
385	1550	38609
386	1552	38570
387	1555	38542
388	1558	38504
389	1561	38466
390	1565	38472
391	1569	38463
392	1574	38477
393	1580	38532
394	1583	38496
395	1585	38459
396	1588	38426
397	1591	38401
398	1597	38440
399	1601	38425
400	1604	38398
401	1607	38372
402	1610	38341
403	1614	38352
404	1618	38334
405	1622	38334
406	1624	38296
407	1629	38302
408	1631	38258
409	1633	38219
410	1636	38175
411	1638	38138
412	1642	38127
413	1646	38114
414	1648	38078
415	1651	38038
416	1653	37999
417	1655	37959
418	1664	38058
419	1669	38079
420	1672	38056
421	1677	38069
422	1679	38032
423	1682	37998
424	1685	37965
425	1687	37930
